Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
بتحب السفر و تروح تعمل سياحة ؟,ايه كل صيفية بسافر لغيير جو شوي,بتحب السفر و تروح تعمل سياحة ؟,اه كل صيف بحب اسافر عشان اغير جو شوية,كل دولة لازم تواجه التاريخ.,"نعم، احنا ما نعيش في الفراغ. عندنا قيم تقليدية وتاريخ طويل بس مختلف."
بيتك كتير صغير ليش ما بتنتقل على بيت أكبر ؟,والله يا ريت بس الوضع المادي مش زيادة,بيتك صغير اوي ليه ماتنقلش على بيت اكبر؟,والله يا ريت بس الوضع المادي مش تمام,تحبي السفر يا هدى؟,"أنا أحب السفر للمتعة، والذهاب إلى أماكن لقضاء الإجازة على سبيل المثال. بس ما أحب السفر للشغل وانتظار الباصات أو..."
لغتك الإنجليزية كتير منيحة,شكرا حبيت هيدي اللغة من أنا و صغير,كلامك في الإنجليزية كويس اوي,شكرا حبيت اللغة ديه من وأنا صغير,بيتك مرَّة صغير. ليش ما تشتري واحد كبير؟,أنا أتمنى أني أكون قادر على تحمل كلفة بيت جديد.
تشرب قهوة أو نسكافيه ؟,إذا في نسكافيه بشرب,تشرب قهوة أو نسكافيه ؟,إذا في نسكافيه حشرب,كيف حالك يا بروف سعيد؟,كيف حالك يا آنسة خديجة؟ لغتك العربية ممتازة.
شو بتحب تعمل بأوقات فراغاك,بحب كتير إلعب طاولة مع جدي,بيتحب تعمل ايه في اوقات فراغاك,بحب اوي ألعب طاولة مع جدي,تبغى قهوة بيضاء ولا سوداء؟,بيضاء لو سمحت.
يا زلمي عاش مين شافك وين ما عم تبيين,والله مشغول بالشغل و العيلة,يا عم عاش مين شافك فينك مش ظاهر,والله مشغول بالشغل و العيلة,إيش تحب تسوي في وقت فراغك؟,أحب ألعب شطرنج.
عندك شي هوايات بتحب تمارسا ؟,بحب لعبة الفتبول و الباسكت,عندك اي هوايات بتحب تمارسها ؟,بحب لعبة الكورة و السلة,فين خالد؟ ما لقيته في أي مكان.,ما جاك خبر أنه دخل السجن؟
وينو الأستاذ ما إجا عالمحاضرة اليوم,شكلو مريض حرام,فين الأستاذ مجاش عالمحضرة انهردة,شكله تعبان يا حرام,أقدر اساعدك؟,"يا ريت، قاعد أدور على مواد عشان شي قاعد أكتبه، بس مو متأكد فين أدوِّر."
شو عندك نهار الجمعة ؟,ولا شي أخدت عطلة من الشغل. بدك نروح مشوار ؟,عندك ايه يوم الجمعة؟,ولا حاجة أخدت اجاذة من الشغل. عايز نروح مشوار ؟,"يا أنس، إيش مخططاتك في يوم الجمعة؟",هيكون عندي عطلة من الشغل.
شو لح تعمل على عيد ميلادك ؟,رايح أتغدا مع رفقاتي و نحضر فيلم,حتعمل ايه في عيد ميلادك؟,رايح أتغدا مع صحابي و نتفرج على فيلم,أنت مصدق أنو العالم يطور في كل سنة؟,"إيوة، أظن أنو العلم يخلينا حكيمين أكثر. أنت إيش رايك؟"
ممكن أبدل هيدا الكتاب ؟,ايه ممكن بس ورجيني بطاقتك لو سمحت,ممكن ابدل الكتاب ده؟,اه ممكن بس وريني بطاقتك لو سمحت,إيش مخططاتك ليوم ميلادك؟,أبغى أطلع نزهة مع أصحابي يا أمي.
بعدك عايش مع أمك و أبوك ؟,ايه بعدني بس يمكن أنتقل قريبا,انت لسة عايش مع ابوك و امك؟,ايه لسة عايش معاهم بس ممكن أنقل قريب,كيف أقدر اساعدك؟,أبغى أرجع الكتاب ذا.
وجك مصفر كتير اليوم شو صاير معك ؟,مش عارف بس شكلي لح غررب,وشك مصفر النهردة جامد ايه الي حاصل معاك؟,مش عارف بس شكلي حيجيلي برد,إيش مشكلتك طيب؟ شكلك فظيع.,نحنا.
اليوم كتير كان بتععب بدي روح اشرب عصير,فكرة حلوة بركي بتتنشط شوي,النهردة كان يوم متعب اوي عايز اروح اشرب عصير,فكرة حلوة يمكن افرفش شوية,"هلا مريم، شكلك شاحبة اليوم. ايش مشكلتك؟","أظن عندي برد، جسمي كله يوجعني."
بدي عزبك بس قدي الساعة ؟,ما بعرف ما معي ساعة,حتعبك معايا بس الساعة كام؟,معرفش معيش ساعة,"نفسي أروح أشرب، اليوم كان يوم طويل.","فكرة حلوة يا يوسف، نفسي في الشراب."
وقعت مني الساعة مبارح و بطلت تمشي,خدا عند المصلح بظبتلك ياها,وقعت مني الساعة امبارح وباظت,خدها عند الساعاتي حيظبطهالك,تقدر تقولي الوقت الصحيح كم لو سمحت؟,"ساعتي تقول الساعة اثنين وخمس دقايق، بس مافي فايدة نعتمد عليها عشنها كانت بتقدم وتأخر في الأيام اللي راحت."
بتعرف شي مين هني أجدادك ؟,لا ولله انفقدت شجرة العيلة,تعرف مين هما جدودك؟,لا ولله ضاعت شجرة العيلة,عيلتك عندها سجل لأجدادك؟,"إيوة أكيد، أمي كانت تشتغل على شجرة عائلتنا لسنوات. بتحدثها دائماً."
رايح كزدر على الشط بعد ساعة بتحبي تجي معي ؟,يا ريت بس عندي شغل بدي خلصو ضروري,رايح اتمشى علي الشط بعد ساعة تحب تيجي معايا ؟,ياريت ولله بس عندي شغل عايز اخلصوا ضروري,"هلا سيد مبارك، عندك مزاج تطلع بالقارب معاي؟","فكرة حلوة، أنا لي فترة من طلعت بالقارب. متى نطلع؟"
قالولي رحت على التلج من يومين كيف كانت ؟,مشوار حلو الصراحة انبسطت كتير,قالولي رحت علي التلج من يومين كانت عاملة ازاي ؟,مشوار حلو الصراحة اتبسطت اوي,سمعت أنك رحت لمنتجع سايكي للتزلج. استمتعت هناك؟,"يب، كنت رحلة ممتعة. بالرغم من أني أكثر واحد طاح في فريق التزلج."
رحت شي عند الحكيم ؟,بكرا رايح بس خلص جامعة,رحت للدوكتر؟,بكرا رايح بعد ما اخلص جامعة,كان شكلك شاحب مؤخراً.,"إيوة، عليّا ضغط كبير في الشركة. كنت مُركِّز بالكامل على الشغل."
سمعت شي بالأخبار ؟,لأ خير شو في شو صاير ؟,سمعت الاخبار ؟,لأ خير في ايه الي حاصل ؟,"هلا أمل، سمعتي عن داود؟","عن داود؟ لا، ما سمعت أي شي."
كيف بتروح على المدرسة ؟,أمرار مشي أمرار بيي بوصلني,بتروح المدرسة ازاي ؟,أمرار مشي أمرار ابويا بيوصلني,كيف تروح للمدرسة في العادة؟,في العادة بسوق الدراجة. إيش هي وسيلة المواصلات اللي تفضلها؟
شو بيه معصب و عم بفش خلقه فينا ؟,انتزع السخان و ما في مي سخنة,ماله متعصب و جاي يطلع عصبيته علينا؟,السخان باظ ومافيش ميه سخنة,إيش مشكلته؟,هو معصب عشان نسينا ندعوه للحفلة.
ايمتا لح تسافر ؟,بعد كم شهر لكون خلصت جامعة,حتسافر امتى؟,بعد كام شهر عشان اكون خلصت جامعة,إيش ناوي تسوي في رحلة السنة الوحدة يا محمد؟,"ادرس، ادرس، ادرس. أبغى اتعلم كثير."
كتير حلو الطقس اليوم,فعلا كتير حلو خرج نضهر مشوار,حلو اوي الجو انهردة,فعلا حلو اوي يستاهل نخرج مشوار,الجو حلو صح؟ ممكن تساعدني اسقي الورود يا جاسم؟,لازم اساعد؟
سكرت الدكانة كان بدي جيب غراض للبيت,بسيطة.هلق من شوف دكانة غيرها,الكشك قفل كنت عايز اجيب حاجات للبيت,بسيطة. دلوقتي حشوف كشك غيره,"يا ليل، البقالة مقفولة.","يب، هذا يقفل على الساعة عشرة. نقدر نسوق ونروح لمحل 24- ساعة في السادس."
سمعت انو أخت لح تتجوز بعد شهر مبروك,مش مزبوط ابدا. مين قال هيدا الحكي ؟,سمعت انو اختك حتتجوز بعد شهر مبروك,مش مزبوط نهائي. مين قالك الكلام ده,تعتقد أنو الاثنين ديل هيتزوجو؟,تقدر تعتمد على كذا.
لوين رايحين ؟,بدنا نروح اليوم رحلة على المتحف,رايحين فين؟,عايزين نرح النهردة على المتحف,"أبوي، فين نحنا رايحين؟",أول حاجة هنروح مركز المدينة نشرب حاجة. وبعدها هنزور متحف الجامعة.
شو رأيك نروح عالسينما اليوم ؟,تمام فكرة حلوة. من زمان جايي عبالي والله. شو بدك تحضر؟,ايه رأيك نروح علي السينما انهردة؟,تمام فكرة حلوة. من زمان جايي على بالي ولله. عايز تتفرج على ايه,إيش رايك نروح السينما اليوم؟,"حلو، إيش معروض اليوم؟"
حاسس حالي كتير مضايق,سلامتك خير شو اشبك ؟ بشو حاسس ؟,حاسس نفسي مضايق جامد,سلامتك خير مالك ؟ حاسس بايه ؟,ما أحس أني مرتاح.,أنت مريض؟
شو نوع سيارتك اللي بتسوقها عادة ؟,عندي تويوتا قديمة بدي غيرها زهقت منا,ايه نوع عربيتك الي بتسوقها في العادي؟,عندي تويوتا قديمة عايز اغيرها زهقت منها,خلاص قررت. هسوي وشم.,من جِدك؟ متأكد؟
يا الله شو هالطقس اليوم بالمرة,فعلا طقس زفت اليوم,يا الله ايه الجو ده انهردة,فعلا الجو انهردة زفت,"لو سمحت، إيش فايدة الشاشة اللي جمب الدركسون حقك؟","تلفزون متنقل، هذي حاجة رائجة."
شو بتعمل بأوقات فراغك ؟,بحب أعزف عالعود و أسمع موسيقى,بتعمل ايه في اوقات فراغك؟,بحب اعزف عالعود أو أسمع موسيقى,"اوه، لأ!",يليل!
بدي قول لرفيقتي انو بحبها بس خيفان,لا ما تخاف. أنا برأي كون جريء و قلها,عايز اقول لصحبتي اني بحبها بس خايف,لا متخفش. أنا في رأي كون جريْ وقلها,إيش تسوين في وقت فراغك يا نانسي؟,أحب اعزف الكمان.
شو رياضتك المفضلة ؟,بحب السباحة كتير. كان بدي احترف السباحة,ايه رياضتك المفضلة ؟,بحب السباحة اوي. كان نفسي احترف السباحة,كيف هكلمها عن الموضوع ذا؟,"لا تخاف، هتلقى حل."
شو يلي مخللاك مبسوط هلقد ؟,ربحنا نهائي كأس اليوم,ايه الي مخليك مبسوط للدرجادي ؟,كسبنا نهائي كأس انهردة,إيش الرياضات اللي تحب تلعبها؟,أنا أحب كرة القاعدة وكرة السلة.
لح تروح على الحفلة نهار السبت ؟,اي لح روح اكيد ولو,حتروح على الحفلة يوم السبت ؟,اه حروح ايد عيب عليك,إيش مزعلك؟,"أهلي اتصلو، كالعادة يذكروني ثاني أني لازم اتزوج في أواخر العشرينات. القول أسهل من الفعل. أتزوج مين؟ ما عندي وقت للمواعدة."
فيي احكي معك بخصوص الإمتحان ؟,ما في مشكلة أكيد. مرق لعندي عالمكتب بأوقات فراغي,ممكن اتكلم معاك بخصوص الإمتحان ؟,مفيش مشكلة طبعا. عدي عليا عامكتب في أوقات فراغي,هتروح للحفلة يوم السبت؟,"كنت أفكر  أروح، وأنت؟"
الله يوفقك اليوم بإمتحانك,شكرا ماما الله يخليلي ياكي,الله يوفقك النهردة في امتحانك,شكرا ماما ربنا يخليكي لينا,تقدر تتكلم معاي شوي عن درجاتي؟,انتظر لحظة في مكتبي. إيش مشكلتك؟
خلص ما بقا بدي اشتغل معو لهيدا الشخص. العمى شو مزعج,ليه شو صاير معك ؟ خبرني,خلاص ما بقتش عايز اشتغل مع الشخص ده. يخريبيته قد ايه مزعج,ليه ايه الي حاصل معاك ؟ قلي,"بالتوفيق في امتحانك بكرة، هنتمنى لك النجاح.",شكراً.
يا زلمي انغشيت اليوم,ما تقلي نصبوا عليك بالسوق مرة تانية,يا راجل اتنصب عليا النهردة,متقليش نصبوا عليك في السوق مرة تانية,أنا مستحيل أشتغل معاه!,إيش حصل؟ اتخاصمتو مرة ثانية؟
مزبوطة الساعة ؟ كأنو مأخرة,ايه يمكن خلصت بطاريتها,مزبوطة الساعة ؟ كأنها متأخرة,اه يمكن خلصت بطاريتها,يا ربي! انضحك عليَّ,إيش؟ إيش اشتريت؟
شو يا ست كيفك ؟ زمان ما شفناكي,اهلين فيك! والله مضغوطة بالدرس,ايه يا ست عاملة ايه ؟ ماشفناكيش من زمان,اهلن بيك! والله مضغوطة في المذاكرة,الساعة مضبوطة؟,اخاف أنها مقدمة شوي.
راسي عم يوجعني شو بدي أعمل ؟,شربلك كباية عصير ليمون بركي بتروق,راسي بيوجعني اعمل ايه؟,اشربلك كباية عصير لمون يمكن تروق,"هلا مريم، إيش أخبارك؟","نص نص، أمس قابلت رِجَّال في البار وقضينا وقت حلو، عشان كذا قررنا نتقابل مرة ثانية اليوم."
لازم الواحد يضل عم يتعلم و يطور نفسه,معك حق مليون بالمية. العلم ما إلو نهاية,لازم الواحد يفضل يتعلم و يطور نفسه,معاك حق مليون في المية. العلم مالوش نهاية,إيش الأخبار؟ شكلك مو مرَّة كويس.,"يب، راسي يعورني، وبس.  كنت في صفوف الفيزياء طول اليوم. حاجة تقتل."
قدي عمرك ؟,خمسة و عشرين ليه ؟,عندك كام سنة؟,خمسة و عشرين ليه ؟,اليوم يدافع المزيد والمزيد من الناس عن التعلم مدى الحياة. لكن الناس عندهم وجهات نظر مختلفة عن التعلم مدى الحياة. ما هو فهمك للتعلم مدى الحياة؟,أعتقد أن التعلم مدى الحياة هو مفهوم يعني أن التعلم يستحيل أن يكون مبكراً جداً أو متأخراً جداً.
شو هالريحة العمى شي بقرف !,هيدي من الدخان و الأركيلة,ايه الريحة ديه حاجة تقرف !,ديه من الدخان و الشيشا,كم عمرك؟,تسعة ... بس هيصير عمري عشرة في الأول من مايو. متى يوم ميلادك؟
ليه هيك شكلك متلج ؟,تحممت بميي باردة كتير,شكلك متلج كدة ليه ؟,استحميت بمياه سقعة اوي,المكان ريحته زي منفضة السجاير.,هلا قلبي! إيش المشكلة؟ إيش هذي النظرة اللي في وجهك؟
الله يلعن هالبلد انقطعت الكهربا !,الها من امبارح مقطوعة,الله البلد الكهربا اتقطعت !,من امبارح مقطوعة,ليش ترتجف؟,الجو برد مرَّة.
شو غرت لأني سلمت على رفيقك ؟,لأ ليش بدي غار يعني ؟,ايه غرت عشان سلمت على صحبتك ؟,لأ ليه لازم اغير يعني ؟,شكلك تبدا تقلق لمن أنا أمدح أي واحد ثاني.,"أنا ما أقلق لأنك بتمدح واحد ثاني، أنا أقلق لأنه ممكن ينضحك عليك من واحد زيه."
ما طيبة هالجبنة. طعمتها متل البلاستيك,معك حق. كرمال هيك كتير رخيصة,مش حلوة الجبنة ديه. طعمها ذي البلاستيك,معاك حق. عشان كدة رخيصة جدا,يليل ! طعمه زي الورق المقوى.,"يب حتى أنا أظن كذا، يمكن عشان كذا المحل ذا رخيص."
عاملين حفلة بالبيت عشية تعا,يا ريت بس ضاهر مع خطيبتي,عاملين حفلة في البيت عالعشى تعالى,ياريت بس خارج مع خطيبتي,أنت سجلت للانضمام لحفلة الكريسماس الخاصة بالشركة؟,"يب، سجلت. أنت هتنضم؟"
عم ب قولوا عالأخبار إنو بدها تشتي بكرا,منيح اللي قلتلي كنا رايحين نلعب فوتبول. إذا هيك لح نأجلها,بيقولوا عالأخبار انها حتشتي بكرا,كويس انك قلتلي كنا رايحين نلعب كورة. لو كدة حنأجلها,"لو توقعات رجل أخبار الطقس صحيحة، فبكرة هتمطر.","أتمنى ما تمطر، عشان لو فعلاً حصل فهنضطر نأجل مباراة كرة القاعدة حقتنا."
بترف شي مين هيدي الصبية ؟ كتير حلوين شعراتها,هيدي بنت خالتي,تعرف مين البنت ديه ؟ شعرها حلو اوي,ديه بنت خالتي,"هلا إيمان، تعرفي الرِجَّال اللي هناك؟","الطويل؟ إيوة أعرفه. هذا داود، يشتغل مع ليلى."
ما ضقيتلي امبارح كنت ناطر منك اتصال,انتزع عندي شريط الكهرباء باليت و كنت عم صلحو,مرنتليش امبارح كنت مستني منك مكالمة,باظ عندي سلك الكهرباء في البيت و كنت بصلحوا,أنت ما اتصلت عليّ أمس. قلتلي هتتصل.,أنا آسف لأني خيبت ظنك.
كيف كانت عطلتك ؟,منيحة ما بها شي. تسلينا شوي,اخبارك الأجازة معاك ايه ؟,كويسة مفيهاش حاجة. امبسطنا شوية,"هلا نوال، كانت عطلتك الأسبوعية كويسة؟","إيوة، بس أنا تعبانة اليوم."
قدي بدي وقت لأوصل على راس الجبل ؟,شي ساعة و نص بالكتير,محتاج وقت قد ايه عشان اوصل على راس الجبل ؟,يعني ساعة و نص بالكتير,هيكون في موكب للاحتفال باليوم الوطني في نهاية الأسبوع.,فين مساره؟
شكلك قعدت محلي استاذ,عفوا ما تواخذني بالغلط,شكلك قعدت مكاني يا استاذ,عفوا لامؤاخذة غصب عني,"لو سمحت، أنت جالس في مقعدي. حركت كتبي.",أما.
قدي معدل الحياة عندك بالبلد ؟,عالتلوث ما شكلنا حنضاين,قد ايه معدل الحياة في البلد عندك ؟,عالتلو شكلنا مش حنعيش,كم هو متوسط العمر المتوقع في بلدك؟,"مو متأكد، بس غالباً 75. وكم في دولتك أنت؟"
رايح عاليابان بالصيفية,حلو بس الأكل هونيك بالمرة,رايح على اليابان في الصيف,كويس بس الاكل هناك مجاش,أنا هروح اليابان السنة ذي في الإجازة.,هل حصل ورحت أمريكا؟
كيفك يا زلمي ؟,الحمدلله ماشي الحال,عامل ايه يراجل ؟,الحمدلله الدنيا ماشية,"هلا مالك، لي فترة ما شفتك.",جمانة! شي جميل أني قابلتك مرَّة ثانية. كيف حالك؟
فيك تعيطلي لمديرك بدي اشتكي,ليش يا استاذ شو يلي زاعجك ؟,ممكن تناديلي مديرك عايز اشتكي,ليه يا استاذ ايه الي زاعجك ؟,لو سمحت ممكن أقابل المدير؟ عندي شكوى.,"نعم، أنا المدير. كيف أقدر أخدمك يا مدام؟"
مبروك الجايزة. بتستاهل !,شكرا حبيبي كلك زوق,مبروك الجايزة. بتستاهل !,شكرا يحبيبي كلك زوق,"مبروك يا فيفي. فزتي بالجائزة الكبرى، مرَّة ثانية.",حاجة حلوة صح؟ كنت متأكدة أني هفوز!
كيف لقيت الشغل الجديد ؟,كلو تمام بس تعب كتير,ازاي لقيت الشغل الجديد ؟,كله تمام بس تعب كتير,نحنا رايحين الحفلة الموسيقية في المساء. هتجي معانا؟,معليش ما أقدر.
فيي ارقص معك لو سمحتي ؟,لأ عفوا أنا مخطوبة,ممكن ارقص معك لو سمحتي ؟,لأ عفوا أنا مخطوبة,"أنت كنت شغال هنا لقرابة الشهر، كيف شعورك نحو العملظ",لا بأس به. شكراً على مساعدتك. أنا دايماً مشغول بالعمل. أحس بتعب شوي. 
في حدا اخد هيدا المقعد ؟,لا ما في حدا تفضل قعود,في حد اخد الكرسي ده ؟,لا مفيش حد اتفضل تعالا اقعد,الموسيقى شغالة. هل ممكن تشرفيني برقصة معاكي؟,"آسفة، أنا مخطوبة لفوكستروت. هل الجدران التالية مناسبة؟"
في كتير ناس عم يتطلقوا هلأيام,اي مدري ليش هيك عم بصير,في ناس كتير بيطلقوا اليومين دول,اه مش فاهم ايه الي بيحصل,"لو سمحت، الكرسي ذا فاضي؟","لا، خذ راحتك."
حبيتا من أول نظرة. كتير حلوة,طب روح قلها شو بعدك ناطر يا ذكي,حبيتها من أول نظرة. جميلة جدا,طب روح قلها مستني ايه يا ذكي,"شوف العنوان ذا، سو مي.",واو! ناس كثيرة عندها حالات طلاق في الولايات المتحدة!
عفوا وين فيي سجل ؟,عند الشب هونيك هو بساعدك,بعد اذنك ممكن اسجل فين ؟,عند الشاب الي هناك هو حيساعدك,يولد! إيش الجمال ذا  كله! وقعت في غرامها من النظرة الأولى.,الجمال اللي تحت الشجرة؟
كيف دراستك ؟ كلشي تمام ؟,ايه كلو تمام لح اتخرج بعد شهر ان شاء الله,ايه اخبار دراستك ؟ كله تمام ؟,اه كله تمام حاتخرج بعد شهر ان شاء الله,"لو سمحت، فين أسجل؟","هناك، في جناح المحيط الهادئ."
عندك شي بتحب تعملو ؟,بحب أحضر افلام رومانسية,عندك حاجة بتحب تعملها ؟,بحب اتفرج على افلام رومانسية,كيف كان سير تعليمك في أستراليا؟,هتخرج في هذا الصيف.
شو هو هيدا الفلم نازل جديد ؟,ايه هيدا فلم رعب نزل من كم يوم,ايه الفيلم الي نازل جديد ده ؟,اه ده فلم رعب نزل من كام يوم,هل عندك أي هوايات محددة يا تامر؟,"نعم أكيد، أحب ألعب كرة الريشة وتنس الطاولة وألعاب الكمبيوتر. ولعب الألعاب صارت هوايتي المفضلة."
مين هيدي المرا ؟,هيدي ستي أم ابوي,مين الست ديه ؟,ديه ستي ام ابويا,إيش قصة فيلمك الجديد؟,"القصة عن شرطي يتحرى سلسلة من عمليات القتل الغريبة. أنا ألعب دور المحقق. هدفه أنه يمسك القاتل، بس هناك دليل صغير جداً. الأمر نفسي."
